PWL_ID,WIN,NAME,DESCRIPT,BASIN,FACT_SHEET,Shape__Length
1004-0096,"C- 48-36,37","Locklaird, Killkenny Brooks and tribs",total length of both streams and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0096.pdf,5932.112868
1004-0019,C- 16 thru 24 (selected),Minor Tribs to Lake Champlain,"total length of selected tribs, Main Lake Middle",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0019.pdf,135283.4638
1004-0020,C- 25,"Ausable River, Upper, and minor tribs","stream and selected tribs, abv Ausable Chasm to E/W Br",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0020.html,119471.3494
1004-0021,C- 23,"Little Ausable River, Upper, and tribs",stream and tribs above dam in Peru,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0021.pdf,138940.9928
1004-0098,C- 21- 2,"Riley Brook, Upper, and tribs",,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0098.html,4543.764982
1005-0002,C-134-22,Indian River and tribs,entire stream and tribs (within NYS),Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0002.pdf,50866.75011
1005-0003,C-134,"Mettawee River, Upper, and minor tribs",stream and selected tribs from trib -15 to NY-VT border,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0003.html,122515.1215
1005-0004,C-134- 4-27,Big Creek and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0004.html,86420.7338
1005-0011,C- 96,"Putnam Creek, Lower, and tribs",stream and tribs from mouth to Ironville/Penfield Pond,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0011.html,104285.6045
1005-0013,C-134- 4-19,"Halfway Creek, Lower, and tribs",stream and selected tribs from mouth to Tripoli,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0013.pdf,114463.3355
0801-0315,"Ont  19- 45-10,11",Unnamed Tribs to Crystal Creek,total length of select tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0315.html,2639.378207
0801-0413,Ont  19- 91-10,"Sugar River Trib, Upper","stream and tribs, above Constableville",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0413.pdf,2067.977313
0801-0415,Ont  19- 94- 1(-1),"Long Lake Outlet/Cumming Cr, and tribs",entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0415.html,30105.93847
0801-0273,Ont  19- 40 (portion  2),"Beaver River, Lower, and minor tribs","stream and select tribs, fr Beaver Falls to High Falls",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0273.pdf,40458.43831
0801-0419,Ont  19- 94- 1-P922-,Tribs to Long Lake,total length of all tribs to lake,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0419.pdf,21222.37833
0801-0422,Ont  19- 98,Kents Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0422.pdf,29414.6489
0801-0423,Ont  19- 99,"Crystal Creek, Upper, and tribs","stream and tribs, above Forestport",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0423.pdf,7204.093538
0801-0424,Ont  19-103,Alder Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0424.pdf,20030.19439
0801-0429,Ont  19-104- 3,Bear Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0429.pdf,75704.50848
0801-0442,Ont  19-105 thru 112,Minor Tribs to Kayuta Lake,total length of select tribs to the lake,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0442.pdf,78045.90715
0801-0445,Ont  19-114,"Little Black Creek, Upper, and tribs","stream and tribs, above Wheelertown",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0445.pdf,75394.25922
0801-0447,Ont  19-119,Twin Lakes Stream and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0447.pdf,15824.95564
0801-0452,Ont  19-P1007-,Tribs to North Lake,total length of all tribs to lake,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0452.pdf,92313.66583
1004-0015,C- 25,"Ausable River, Lower, and minor tribs",stream and selected tribs from mouth to Ausable Chasm,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0015.html,66147.12924
1004-0018,C- 23,"Little Ausable River, Lower, and tribs",stream and tribs from mouth to dam in Peru,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0018.html,92702.57342
1005-0053,C-138,"Poultney River, Lower, and tribs",stream and tribs from mouth at East Bay to Carver Falls,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0053.html,31015.65725
1005-0054,C-138,"Poultney River, Upper, and tribs",stream and tribs above Carver Falls (within NYS),Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0054.html,27682.89727
0801-0278,Ont  19- 40 (portion  8),"Beaver River, Middle, and tribs","stream and tribs, fr Soft Maple Res to Beaver Lake",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0278.pdf,11025.9325
0801-0283,Ont  19- 40- 7- 3,"Sandy Creek, Upper, and tribs",stream and tribs above Croghan Reservoir,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0283.pdf,10786.0336
0801-0293,Ont  19- 40-P493-19-P539-,Minor Tribs to Nehasane Lake,total length of all tribs to lake,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0293.pdf,34166.75758
0801-0296,Ont  19- 40-P493-19-P539- 5-P541-,Minor Tribs to Lake Lila,total length of selected tribs to lake,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0296.pdf,44843.04747
0801-0297,Ont  19- 40-P493-19-P539- 5-P541- 7,Shingle Shanty Brook and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0297.pdf,90455.20397
0801-0313,Ont  19- 41 thru 50 (selected),Minor Tribs to Middle Black River,"total length of selected tribs, fr Naumburg to Lowville",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0313.html,151974.0675
1004-0055,C- 25-25,"Palmer Brook, Upper, and tribs",stream and tribs above Ausable Forks water supply dam,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0055.pdf,24599.36638
1202-0050,H-240- 82-104,West Kill/Mill Creek and tribs,entire stream and tribs,Mohawk River,https://www.dec.ny.gov/data/WQP/PWL/1202-0050.html,124819.6572
1202-0052,H-240- 82-106,Mine Kill and tribs,entire stream and tribs,Mohawk River,https://www.dec.ny.gov/data/WQP/PWL/1202-0052.pdf,51259.82277
1202-0053,H-240- 82-108,Platter Kill and tribs,entire stream and tribs,Mohawk River,https://www.dec.ny.gov/data/WQP/PWL/1202-0053.html,36541.68214
1202-0054,H-240- 82-110 thru 115,Minor Tribs to Schoharie Reservoir,total length of selected tribs to the reservoir,Mohawk River,https://www.dec.ny.gov/data/WQP/PWL/1202-0054.html,91045.61695
0104-0065,Ont 158..E-23-48-3,Lime Lake Outlet and tribs,entire stream and tribs,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0065.html,55574.35563
0104-0072,Ont 158..E-24,Halfway Brook and tribs,entire stream and tribs,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0072.pdf,9839.482022
0104-0073,Ont 158..E-23- 1 thru 18 (selected),Minor Tribs to Cattaraugus Creek,"total length of selected tribs, from mouth to Gowanda",Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0073.html,243671.3374
0104-0074,Ont 158..E-23-19 thru 31 (selected),Minor Tribs to Cattaraugus Creek,"total length of select tribs, fr Gowanda to Springville",Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0074.html,210804.3552
