Segment_ID,Segment_Name,Class,FACT_SHEET,HMW ,Waterbody_Index_Number,Description,Monitoring_Data,USGS,6NYCRR_Chapter_X_Part,Basin,Segment_Miles,Waterbody_Type,Notes,Shape__Area,Shape__Length
0202-0046,Pickup Lake,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0046.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0046/2018,Pa-63-25-P140d,entire lake,,,800,Allegheny River,,Ponds,,59869.086,1516.73217
0202-0053,Black Pond,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0053.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0053/2018,Pa-63-44-10-P145a,entire lake,,,800,Allegheny River,,Ponds,,63449.07715,1752.819651
0202-0054,West Mud Lake,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0054.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0054/2018,Pa-63-44-P145,entire lake,,,800,Allegheny River,,Ponds,,60296.18048,1267.859941
0201-0008,Ischua Creek Reservoir,C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0008.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0008/2018,Pa-53-54-10-P112,entire reservoir,,,801,Allegheny River,,Ponds,,912330.7078,7161.036189
0201-0035,Linlyco/Club Pond,B(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0035.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0035/2018,Pa-53-21-11-P97a,entire lake,,,802,Allegheny River,,Ponds,,46720.03278,1147.614849
0201-0048,Vee Pond,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0048.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0048/2018,Pa-53-47- 7-P104a,entire pond,,,802,Allegheny River,,Ponds,,34676.55542,842.8070762
0201-0064,Stephens Lake,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0064.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0064/2018,Pa-53-57-a-P117c,entire lake,,,802,Allegheny River,,Ponds,,53652.68073,1394.674825
0202-0020,"Chautauqua Lake, South",A,https://www.dec.ny.gov/data/WQP/PWL/0202-0020.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0020/2018,Pa-63-13- 4-P122 (portion 1),"portion of lake, south of Bemus Point",,,800,Allegheny River,,Ponds,,24609674.94,38703.2933
0202-0047,Clear Creek and tribs,C(T),https://www.dec.ny.gov/data/WQP/PWL/0202-0047.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0047/2018,Pa-63-30,entire stream and tribs,,,800,Allegheny River,59.03,Streams,,,95005.00878
0202-0048,Mud Creek and tribs,C(T),https://www.dec.ny.gov/data/WQP/PWL/0202-0048.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0048/2018,Pa-63-33,entire stream and tribs,,,800,Allegheny River,51.82,Streams,,,82078.73848
0201-0034,"Little Valley Creek, Upper, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0034.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0034/2018,Pa-53-21,"stream and tribs, above Elkdale",,,802,Allegheny River,37.46,Streams,,,60284.14901
0201-0001,"Little Genesee Creek, Lower, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0001.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0001/2018,Pa-53..Pa-39,"stream and tribs, from mouth to Bolivar",,,802,Allegheny River,42.96,Streams,,,69131.86792
0201-0002,Tunungwant (Tuna) Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0002.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0002/2018,Pa-53-36,entire stream and minor tribs,,,802,Allegheny River,47.79,Streams,,,76913.17399
0202-0007,"Stillwater Creek, Lower, and tribs",B,https://www.dec.ny.gov/data/WQP/PWL/0202-0007.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0007/2018,Pa-63- 5,"stream and tribs, from mouth to Stillwater",,,800,Allegheny River,15.32,Streams,,,24658.24355
0201-0009,Haskell Creek and tribs,C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0009.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0009/2018,Pa-53-57,entire stream and tribs,,,802,Allegheny River,87.73,Streams,,,141186.2661
0201-0012,"Great Valley Cr, Middle, and minor tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0012.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0012/2018,Pa-53-25,"stream and tribs, from Great Valley to Ellicottville",,,802,Allegheny River,43.29,Streams,,,69674.78642
0201-0013,"Little Valley Creek, Lower, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0013.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0013/2018,Pa-53-21,"stream and tribs, from mouth to Elkdale",,,802,Allegheny River,59.63,Streams,,,95959.91694
0201-0014,"Cold Spring Creek, Lower, and tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0014.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0014/2018,Pa-53-11,"stream and tribs, from mouth to Napoli",,,802,Allegheny River,33.57,Streams,SN,,54030.95186
0201-0017,"Olean Creek, Lower, and tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0017.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0017/2018,Pa-53-54,"stream and tribs, from mouth to Baldwin Heights",,,801,Allegheny River,9.51,Streams,,,15299.47654
0201-0021,Honeoye Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0021.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0021/2018,Pa-53..Pa-32,entire stream and tribs,,,802,Allegheny River,30.79,Streams,,,49552.41482
0201-0022,Minor Tribs to Pennsylvania,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0022.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0022/2018,Pa-43 thru 50,total length of selected/smaller tribs to Pennsylvania,,,802,Allegheny River,30.65,Streams,,,58557.94921
0201-0024,"Allegheny River, Main Stem",B,https://www.dec.ny.gov/data/WQP/PWL/0201-0024.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0024/2018,Pa-53 (portion 2),from Salamanca to Vandalia,,https://waterdata.usgs.gov/ny/nwis/uv/?site_no=03011020,802,Allegheny River,13.27,Streams,,,11833.81884
0201-0025,"Allegheny River, Main Stem",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0025.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0025/2018,Pa-53 (portion 3),from Vandalia to Olean,,,802,Allegheny River,8.03,Streams,,,22443.42084
0201-0026,"Allegheny River, Main Stem",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0026.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0026/2018,Pa-53 (portion 4),from Olean to NY-Pa state line,,,802,Allegheny River,8.38,Streams,,,9749.163822
0201-0028,"Minor Tribs to Allegheny Reservior, east",B,https://www.dec.ny.gov/data/WQP/PWL/0201-0028.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0028/2018,Pa-53- 3 thru 19 (selected),"total length of selected tribs to reservoir, from east",,,802,Allegheny River,49.46,Streams,SN,,43573.09933
0201-0029,Quaker Run and tribs,B(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0029.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0029/2018,Pa-53- 8,entire stream and tribs,,,802,Allegheny River,67.47,Streams,SN,,108589.3502
0201-0031,"Cold Spring Creek, Upper, and tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0031.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0031/2018,Pa-53-11,"stream and tribs, above Napoli",,,802,Allegheny River,25.18,Streams,,,40526.91981
0201-0032,Red House Brook and tribs,B,https://www.dec.ny.gov/data/WQP/PWL/0201-0032.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0032/2018,Pa-53-15,entire stream and tribs,,,802,Allegheny River,86.91,Streams,SN,,139862.4754
0201-0036,Minor Tribs to Allegheny River,B,https://www.dec.ny.gov/data/WQP/PWL/0201-0036.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0036/2018,Pa-53-22 thru 33 (selected),"total length of selected upper tribs, within state park",,,802,Allegheny River,25.76,Streams,SN,,83622.9699
0202-0049,Cherry Creek and tribs,B(TS),https://www.dec.ny.gov/data/WQP/PWL/0202-0049.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0049/2018,Pa-63-39,entire stream and tribs,,,800,Allegheny River,17.72,Streams,,,28513.41533
0201-0037,Minor Tribs to Allegheny River,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0037.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0037/2018,Pa-53-22 thru 43 (selected),"total length of selected tribs, Salamanca to Vandalia",,,802,Allegheny River,81.58,Streams,SN,,169690.7912
0201-0038,"Salamanca Water Supply Trib, Upper",AA,https://www.dec.ny.gov/data/WQP/PWL/0201-0038.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0038/2018,Pa-53-23,"stream and tribs, above Salamance waterworks",,,802,Allegheny River,4.06,Streams,,,6540.23965
0201-0039,"Great Valley Cr, Lower, and minor tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0039.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0039/2018,Pa-53-25,"stream and minor tribs, from mouth to Great Valley",,,802,Allegheny River,50.03,Streams,,,80515.47547
0201-0040,"Great Valley Cr, Upper, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0040.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0040/2018,Pa-53-25,"stream and tribs, above Ellicottville",,,802,Allegheny River,97.15,Streams,,,156345.8114
0201-0041,Wrights Creek and tribs,C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0041.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0041/2018,Pa-53-25- 6,entire stream and tribs,,,802,Allegheny River,96.57,Streams,,,155417.7505
0201-0042,Forks Creek and tribs,C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0042.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0042/2018,Pa-53-25-11,entire stream and tribs,,,802,Allegheny River,70.07,Streams,,,112770.704
0201-0043,"Minor Tribs to Tunungwant Creek, Class B",B,https://www.dec.ny.gov/data/WQP/PWL/0201-0043.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0043/2018,Pa-53-36- 1 thru 12 (selected),"total length of selected tribs, within state park",,,802,Allegheny River,35.67,Streams,,,57409.53694
0201-0044,Chipmunk Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0044.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0044/2018,Pa-53-39,entire stream and tribs,,,802,Allegheny River,35.2,Streams,,,56646.36711
0201-0045,Ninemile Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0045.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0045/2018,Pa-53-42,entire stream and tribs,,,802,Allegheny River,22.42,Streams,,,36082.32756
0201-0046,Minor Tribs to Allegheny River,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0046.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0046/2018,Pa-53-44 thru 53 (selected),"total length of selected tribs, from Vandalia to Olean",,,802,Allegheny River,35.86,Streams,,,109943.3744
0201-0047,Fivemile Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0047.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0047/2018,Pa-53-47,entire stream and tribs,,,802,Allegheny River,100,Streams,,,160929.7143
0201-0049,Fourmile Creek and tribs,C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0049.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0049/2018,Pa-53-48,entire stream and tribs,,,802,Allegheny River,33.42,Streams,,,53785.03617
0201-0050,"Olean Creek, Upper, and tribs",A,https://www.dec.ny.gov/data/WQP/PWL/0201-0050.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0050/2018,Pa-53-54,"stream and tribs, from Baldwin Heights to Hinsdale",,,801,Allegheny River,57.98,Streams,,,93317.36307
0201-0051,"Ischua Creek, Lower, and tribs",A,https://www.dec.ny.gov/data/WQP/PWL/0201-0051.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0051/2018,Pa-53-54-10,"stream and tribs, from mouth to Ischua",,,801,Allegheny River,30.06,Streams,,,48373.8923
0201-0052,"Ischua Creek, Middle, and minor tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0052.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0052/2018,Pa-53-54-10,"stream and tribs, from Ischua to Franklinville",,,801,Allegheny River,81.54,Streams,,,131225.8156
0201-0053,"Ischua Creek, Upper, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0053.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0053/2018,Pa-53-54-10,"stream and tribs, above Franklinville",,,801,Allegheny River,106.66,Streams,,,173649.652
0201-0054,Gates Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0054.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0054/2018,Pa-53-54-10-22,entire stream and tribs,,,801,Allegheny River,37.09,Streams,,,59698.69155
0201-0056,"Oil Creek, Lower, and tribs",A,https://www.dec.ny.gov/data/WQP/PWL/0201-0056.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0056/2018,Pa-53-54-11,"stream and tribs, from mouth to Cuba Lake Outlet",,,801,Allegheny River,23.5,Streams,,,37813.44307
0201-0057,"Oil Creek, Upper, and tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0057.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0057/2018,Pa-53-54-11,"stream and tribs, above Cuba Lake Outlet",,,801,Allegheny River,32.73,Streams,SN,,53651.24596
0201-0058,Cuba Lake Outlet,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0058.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0058/2018,Pa-53-54-11- 5,entire stream,,,801,Allegheny River,3.02,Streams,SN,,4856.346566
0201-0059,Minor Tribs to Cuba Lake,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0059.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0059/2018,Pa-53-54-11- 5-P115-,total length of minor tribs to to Cuba Lake,,,801,Allegheny River,23.72,Streams,SN,,38176.27175
0201-0060,Rawson Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0060.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0060/2018,Pa-53-54-11- 5-P115-(2a),entire stream and tribs,,,801,Allegheny River,24.66,Streams,,,39687.1642
0201-0061,Griffin Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0061.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0061/2018,Pa-53-54-11- 6,entire stream and tribs,,,801,Allegheny River,32.02,Streams,,,51533.18888
0201-0063,Minor Tribs to Allegheny River,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0063.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0063/2018,Pa-53-55 thru 67 (selected),"total length of selected tribs, fr Olean to NY-Pa line",,,802,Allegheny River,50.11,Streams,,,75157.16969
0201-0065,"Dodge Creek, Lower, and tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0065.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0065/2018,Pa-53-63,"stream and tribs, from mouth to near Obi",,,802,Allegheny River,26.94,Streams,,,43356.88281
0201-0066,"Dodge Creek, Upper, and tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0201-0066.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0066/2018,Pa-53-63,"stream and tribs, above Obi",,,802,Allegheny River,60.62,Streams,,,97554.74214
0201-0067,Wolf Creek and tribs,C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0067.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0067/2018,Pa-53-63- 6,entire stream and tribs,,,802,Allegheny River,18.04,Streams,,,29029.4353
0201-0068,Oswayo Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0068.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0068/2018,Pa-53-64,"entire stream and tribs, within NYS",,,802,Allegheny River,28.76,Streams,,,46287.17834
0201-0069,Minor Tribs to Pennsylvania,C,https://www.dec.ny.gov/data/WQP/PWL/0201-0069.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0069/2018,Pa-53..Pa-33 thru 38,total length of selected/smaller tribs to Pennsylvania,,,802,Allegheny River,24.4,Streams,,,39264.79106
0201-0070,"Little Genesee Creek, Upper, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0070.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0070/2018,Pa-53..Pa-39,"stream and tribs, above Bolivar",,,802,Allegheny River,45.37,Streams,,,73015.28602
0202-0005,Brokenstraw Creek and minor tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0005.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0005/2018,Pa-77,entire stream and selected tribs,,,800,Allegheny River,23.44,Streams,,,37720.05178
0202-0006,"Conewango Creek, Middle, and minor tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0006.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0006/2018,Pa-63,"stream and selected tribs, fr abv Frewsburg to nr Pope",,,800,Allegheny River,62.33,Streams,,,154539.5159
0202-0012,"Cassadaga Creek, Lower, and minor tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0012.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0012/2018,Pa-63-13,"stream and tribs, from mouth to Falconer",,,800,Allegheny River,15.86,Streams,,,25529.80977
0202-0014,"Conewango Creek, Lower, and minor tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0014.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0014/2018,Pa-63,"stream and selected tribs, from mouth to abv Frewsburg",,,800,Allegheny River,77.89,Streams,,,65729.92677
0202-0015,"French Creek, Lower, and minor tribs",A,https://www.dec.ny.gov/data/WQP/PWL/0202-0015.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0015/2018,Pa-81,"stream and selected tribs, from mouth to French Creek",,,800,Allegheny River,32.11,Streams,,,51682.28075
0202-0017,"Conewango Creek, Upper, and minor tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0017.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0017/2018,Pa-63,"stream and selected tribs, above Pope",,,800,Allegheny River,176.9,Streams,,,67107.90539
0202-0018,Chadakoin River and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0018.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0018/2018,Pa-63-13- 4,entire stream and selected tribs,,,800,Allegheny River,22.19,Streams,,,35708.35901
0202-0019,"Mill Creek, Lower, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0202-0019.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0019/2018,Pa-63-13-20,"stream and tribs, above Sinclairville",,,800,Allegheny River,19.64,Streams,,,31601.44878
0202-0021,"Minor Tribs to Chautauqua Lk, Chautauqua",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0021.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0021/2018,Pa-63-13- 4-P122-16 thru 21,total length of selected/smaller tribs to Chautauqua Lk,,,800,Allegheny River,42.87,Streams,,,68987.36742
0202-0022,"Dewittville Creek, and tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0022.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0022/2018,Pa-63-13- 4-P122-22,entire stream and tribs,,,800,Allegheny River,30.4,Streams,,,48923.65981
0202-0023,Goose Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0023.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0023/2018,Pa-63-13- 4-P122- 8,entire stream and tribs,,,800,Allegheny River,61.17,Streams,,,98447.45216
0202-0024,Prendergast Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0024.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0024/2018,Pa-63-13- 4-P122-15,entire stream and tribs,,,800,Allegheny River,53.41,Streams,,,85958.44172
0202-0025,"Minor Tribs to Chautauqua Lake, N.Ellery",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0025.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0025/2018,Pa-63-13- 4-P122-23 thru 26,total length of selected/smaller tribs to Chautauqua Lk,,,800,Allegheny River,8.42,Streams,,,13547.72269
0202-0027,Frews Run and tribs,B,https://www.dec.ny.gov/data/WQP/PWL/0202-0027.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0027/2018,Pa-63- 4,entire stream and tribs,,,800,Allegheny River,11.9,Streams,,,19158.57413
0202-0028,"Stillwater Creek, Middle, and tribs",C(T),https://www.dec.ny.gov/data/WQP/PWL/0202-0028.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0028/2018,Pa-63- 5,"stream and tribs, from Stillwater to Busti",,,800,Allegheny River,21.77,Streams,,,35036.40853
0202-0029,"Stillwater Creek, Upper, and tribs",B,https://www.dec.ny.gov/data/WQP/PWL/0202-0029.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0029/2018,Pa-63- 5,"stream and tribs, above Busti",,,800,Allegheny River,26.09,Streams,,,45359.55645
0202-0030,"Cassadaga Creek, Middle, and minor tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0030.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0030/2018,Pa-63-13,"stream and tribs, from Falconer to Red Bird",,,800,Allegheny River,72.59,Streams,,,116820.6238
0202-0031,"Cassadaga Creek, Upper, and minor tribs",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0031.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0031/2018,Pa-63-13,"stream and selected tribs, from Red Bird to Cassadaga",,,800,Allegheny River,61.89,Streams,,,99601.67797
0202-0032,Moon Creek and tribs,B,https://www.dec.ny.gov/data/WQP/PWL/0202-0032.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0032/2018,Pa-63-13- 4-1,entire stream and tribs,,,800,Allegheny River,6.38,Streams,,,10266.74058
0202-0033,"Tribs to Chautauqua Lake, Town of Busti",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0033.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0033/2018,Pa-63-13- 4-P122- 1 thru 7,total length of selected/smaller tribs to Chautauqua Lk,,,800,Allegheny River,17.91,Streams,,,28819.22945
0202-0034,"Tribs to Chautauqua Lake, North Harmony",C,https://www.dec.ny.gov/data/WQP/PWL/0202-0034.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0034/2018,Pa-63-13- 4-P122- 9 thru 14,total length of selected/smaller tribs to Chautauqua Lk,,,800,Allegheny River,25.58,Streams,,,41167.58283
0202-0035,Bemus Creek and tribs,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0035.pdf,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0035/2018,Pa-63-13- 4-P122-27,entire stream and tribs,,,800,Allegheny River,27.69,Streams,,,44570.86153
