PWL_ID,NAME,DESCRIPT,BASIN,FACT_SHEET,Shape__Area,Shape__Length
0303-0078,Castor Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0078.pdf,27918.83887,1672.937367
0102-0040,Attica Water Supply Reservoir,entire reservoir,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0102-0040.html,701784.2275,5079.626342
0105-0029,Minton Reservoir,entire reservoir,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0105-0029.html,51464.56128,1026.047315
0301-0010,Braddock Bay,entire bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0010.pdf,1305380.399,11838.46441
0302-0021,Blind Sodus Bay,entire bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0021.html,950181.2991,4764.073436
0302-0031,Lake Lacoma,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0031.html,45486.97363,963.1204343
0302-0032,Quaker Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0032.pdf,119619.8116,1627.114185
0105-0025,Brocton Reservoir,entire reservoir,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0105-0025.html,70219.6546,1417.418404
0501-0031,Weyer/Brick Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0031.html,28153.90332,679.7959976
0501-0033,Eldridge Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0033.html,44529.11951,806.0681537
0501-0039,Elmira Reservoir,entire reservoir,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0039.pdf,7965.265381,357.493322
0502-0001,Lamoka Lake and Mill Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0001.html,2320580.773,11090.75207
0502-0002,Waneta Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0002.html,3174716.583,11196.52265
0302-0061,Butler Center Mill Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0061.pdf,90200.5697,2696.11489
0402-0004,Conesus Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0004.html,12980551.01,29461.70113
0104-0067,Beaver Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0067.pdf,76449.6225,1159.414516
0302-0034,Hundred Acre Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0034.html,451553.6433,2997.298763
0302-0035,Cobbs Hill Reservoir,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0035.pdf,72003.61157,1111.746553
0301-0042,Upper Stafford Marsh,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0042.pdf,335340.1165,3610.107526
0303-0100,Russ Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0100.pdf,262637.3146,4585.688665
0402-0002,Canadice Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0002.html,2705976.96,11824.06045
0301-0021,Little Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0021.pdf,10783.23132,554.3125486
0105-0021,Fredonia Reservoir,entire reservoir,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0105-0021.html,207184.1235,2611.592936
0302-0037,"Durand, Eastman Lakes",total area of both lakes,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0037.html,138243.0111,4329.054156
0302-0048,Mud Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0048.pdf,472683.2338,2951.013823
0302-0051,McMullen Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0051.pdf,94649.42078,1402.58401
0303-0054,Goose Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0054.html,137003.1335,2181.587413
0402-0008,Lake LaGrange,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0008.pdf,214686.1418,3449.82371
0402-0011,Hemlock Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0011.html,8393218.304,26668.83607
0402-0032,Honeoye Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0032.html,7270491.439,17194.74118
0104-0070,Crystal Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0070.html,136964.5673,1711.895026
0104-0071,Hiram Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0071.pdf,87783.8457,2141.897053
0302-0058,The Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0058.html,381232.2667,3292.914093
0104-0069,Moores Pond,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0069.pdf,63050.20697,1774.137612
0302-0057,Mud Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0057.pdf,224768.7393,2256.19375
0302-0067,Metz Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0067.pdf,99510.96619,1813.490545
0303-0002,North Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0002.html,9733355.586,24019.17921
0105-0014,Silver Creek Reservoir,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0105-0014.pdf,176714.236,2077.064115
0101-0026,Delaware Park Pond,entire pond,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0101-0026.html,5159.605347,296.9795177
0101-0030,Hyde Park Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0101-0030.html,113729.9169,4004.744933
0101-0038,Green Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0101-0038.html,75049.4826,1738.693715
0102-0033,Akron Reservoir,entire reservoir,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0102-0033.html,191917.1218,3720.690631
0402-0052,Horseshoe Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0052.pdf,100438.1343,2500.713623
0303-0073,Gowdy Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0073.pdf,57061.01672,1235.385319
0403-0054,"Amity Lake, Saunders Pond",total area of both lakes,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0054.html,133483.6093,2948.894218
0303-0058,"North Colwell Pond, South Colwell Pond",total area of both lakes,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0058.html,686076.1185,6149.857595
0303-0090,St. Marys Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0090.pdf,100466.8152,1307.401038
0301-0012,Bond Lake,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0012.html,139625.8351,1783.281153
0301-0015,Long Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0015.html,1947285.282,11116.09849
0301-0016,Cranberry Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0016.html,907188.9835,5451.135504
0301-0017,Buck Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0017.html,829808.8356,13289.43233
0301-0018,Round Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0018.pdf,178242.9998,4737.618912
0403-0040,Mount Morris Reservoir,entire reservoir,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0040.pdf,8419452.238,44260.85604
0403-0049,Wethersfields Springs Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0049.pdf,40590.18835,851.1922644
0502-0021,Cinnamon Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0021.pdf,91816.26184,1403.509357
0502-0024,Thurston Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0024.pdf,96413.55481,1728.560402
0502-0026,Peterson Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0026.html,36743.78613,792.4574539
0502-0012,Smith Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0012.html,177821.1913,1764.236379
0601-0065,Mud Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0065.pdf,51620.17822,1930.359399
0403-0056,Andover Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0056.html,30732.87463,1014.237592
0403-0076,Hanging Bog Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0076.pdf,116011.0917,3370.882943
0404-0030,Nunda Reservoir,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0404-0030.html,24251.47729,730.3147734
0501-0012,Koppers Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0012.pdf,24130.45691,1041.946247
0501-0025,Beaver Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0025.pdf,32769.11328,1608.069124
0601-0069,Agfa Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0069.pdf,72846.50806,1201.789469
0601-0070,Beaver/Marsh Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0070.pdf,103045.7781,3643.391949
0302-0065,Wildlife Marsh Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0065.pdf,33561.3761,1164.717351
0302-0066,Mud Pond,entire pond,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0066.pdf,106494.0194,1378.700889
0303-0085,Moshier Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0085.pdf,226616.7695,2728.458119
0303-0088,Grays Millpond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0088.pdf,22399.7948,1323.738384
0601-0081,Crystal Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0081.pdf,109525.6423,1877.831154
0303-0051,Rutland Lake,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0051.pdf,60456.38281,1272.307198
0303-0052,Lakeview Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0052.html,742385.6715,5446.777469
0104-0068,Skim Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0068.pdf,76395.9021,2550.540001
0303-0008,Black Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0008.pdf,86248.15686,2005.137873
0303-0011,Chaumont Bay,"entire bay, see description",Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0011.pdf,39011183.3,51861.12144
0303-0022,Henderson Bay,"entire bay, see description",Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0022.pdf,35680148.7,37147.09247
0303-0025,Guffin Bay,"entire bay, see description",Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0025.pdf,28731509.28,42017.14786
0303-0041,Perch Lake,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0041.pdf,2210164.223,7295.677209
0502-0035,Mud Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0035.html,51838.08154,932.7228049
0403-0055,Foster Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0055.html,108660.4805,1828.794839
0502-0011,Lake Salubria,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0011.html,240806.6819,2008.706586
0303-0059,Cranberry Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0059.pdf,166077.046,1897.496031
0303-0065,South Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0065.html,1217292.699,6844.506908
0303-0067,Lower Salmon River Reservoir,entire reservoir,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0067.html,840565.7335,12898.94757
0303-0069,Salmon River Reservoir,entire reservoir,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0069.html,10408722.5,76841.45804
0502-0015,Demmons Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0015.html,131202.3662,1539.020741
0402-0080,Cement Plant Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0080.pdf,80388.08948,1727.44181
0403-0002,Silver Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0002.html,3367378.159,13046.45748
0403-0024,Rushford Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0024.html,2315874.154,16554.05454
0503-0022,Cranberry Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0022.pdf,78311.91028,1134.085816
0503-0027,Ag Tech Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0027.html,27105.44275,715.8755892
0402-0074,Shackleton Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0074.pdf,49840.41907,946.7718523
0601-0088,Cedar Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0088.pdf,76916.12305,1094.10811
0601-0089,Unadilla Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0089.pdf,52168.23657,1364.165849
0601-0066,Beaver Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0066.pdf,145208.833,2148.175951
0503-0015,Goodhue Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0015.html,89205.99341,1705.547787
0601-0086,Hunts Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0086.pdf,203248.259,2196.458144
0601-0072,Perch Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0072.pdf,102861.8085,1296.943798
0601-0093,Buckhorn Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0093.pdf,244356.3936,2456.913871
0601-0094,YMCA Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0094.pdf,40770.61743,783.2800138
0601-0085,Jackson Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0085.pdf,16273.82629,533.8544775
0601-0116,Saddlebag Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0116.pdf,43130.87183,1060.275521
0601-0091,Chisholm Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0091.pdf,21049.77783,568.3591546
0303-0043,Hyde Lake,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0043.html,805216.5016,4832.663013
0303-0046,Henderson Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0046.pdf,462854.4493,4472.890065
0601-0077,Allen Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0077.pdf,103219.4404,1597.168467
0503-0003,Almond Lake,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0003.html,429313.4061,5734.479441
0601-0090,Rogers/Sweet Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0090.pdf,40868.53223,888.1143174
0402-0073,"Round, Long Ponds",total area of both lakes,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0073.pdf,81636.7113,1946.431421
0403-0050,"Dream Lake, Lake Willene",total area of both lakes,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0050.pdf,67022.7605,2162.24692
0601-0016,Canadarago Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0016.html,7615173.213,16107.79784
0502-0037,Loucks Pond,entire lake,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0037.html,72326.61755,1059.758295
0404-0039,Loon Lake,total area of selected lakes,Genesee River Basin,https://www.dec.ny.gov/data/WQP/PWL/0404-0039.html,681706.3678,5362.676353
0601-0115,Mud Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0115.pdf,52223.05273,834.4453686
0601-0068,White Birch Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0068.pdf,124126.8953,1597.597856
0403-0051,Spring Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0051.pdf,104359.8867,1385.924759
0402-0053,Churchville Reservoir,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0053.pdf,218225.7927,6600.563122
0403-0052,Moss Lake/Lily Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0052.pdf,61681.36169,1614.160151
0403-0053,Rockville Lake,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0403-0053.pdf,108259.4563,1796.812007
0502-0027,"Sanford, Van Keuren, Round Lakes",total area of all three lakes,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0502-0027.html,252378.8375,4127.013184
0601-0084,Whites Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0084.pdf,91670.0813,1348.52937
0402-0079,Blue Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0079.pdf,65514.34473,1008.829296
0601-0087,Chittning Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0087.pdf,360415.5181,3156.279366
0503-0031,Hornell Reservoirs,entire area of all three reservoirs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0031.html,185527.1667,3066.121289
0601-0113,Muskrat Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0113.pdf,26738.84399,634.8192874
0601-0114,Bailey Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0114.pdf,23000.02539,1212.958848
0602-0010,Norwich Reservoirs,total area of both reservoirs,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0602-0010.html,60977.2644,1895.578444
0602-0014,Plymouth Reservoir,entire reservoir,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0602-0014.pdf,319729.7369,2208.148137
0602-0017,Lower/Upper Little York Lakes,total area of both lakes,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0602-0017.html,488463.1467,8435.393893
0602-0018,Tully Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0602-0018.html,915031.7427,9513.93011
0601-0076,Youngs Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0076.pdf,78417.67432,1118.275772
0601-0025,Weaver Lake (Maumee Swamp),entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0025.html,344006.7415,2897.204605
0503-0032,Arkport Reservoir,entire reservoir,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0503-0032.pdf,259.581543,60.76315021
0601-0015,Goodyear Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0015.html,1425387.221,17324.18971
0601-0010,Afton Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0010.html,132929.7267,1426.024952
0601-0012,Guilford Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0012.html,294892.5344,2426.59529
0601-0013,Chenango Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0013.html,542051.4506,3389.809185
0601-0023,Silver Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0023.pdf,119433.5386,1372.18211
0602-0089,Goodale Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0602-0089.pdf,153942.9712,3996.092016
0601-0137,Sidney Reservoir,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0137.pdf,43583.07471,1345.09298
0602-0004,Whitney Point Lake/Reservoir,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0602-0004.html,4999462.349,15196.80477
0602-0007,Lake Moraine,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0602-0007.html,982092.7031,11638.00274
0601-0092,Bourn Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0092.pdf,62001.57568,1450.948545
0601-0026,Young Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0026.pdf,269782.0505,2365.774095
0601-0033,Otsego Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0033.pdf,16591571.69,32674.76855
0601-0063,Clines Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0063.pdf,33144.82617,1069.547347
0601-0064,Hawkins Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0064.pdf,105189.2725,1447.252281
0303-0047,Crystal Lake,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0047.html,688375.3257,4055.273594
0601-0119,Summit Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0119.pdf,245290.9243,2820.217713
0601-0079,Duck Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0079.pdf,70860.09741,1493.739983
0601-0080,Card Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0080.pdf,7875.625488,483.0819612
0601-0118,Clarke Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0118.pdf,42615.16235,1080.130337
0601-0096,Hartwick Reservoir,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0096.pdf,84013.60132,1824.099674
0601-0097,Oneonta Lower Reservoir,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0097.pdf,21382.88208,826.4271773
0601-0098,Wilber Lake,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0098.pdf,358873.2173,3925.631517
0601-0082,Gardners Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0082.pdf,6474.233154,447.6971603
0601-0083,Zimmermans Pond,entire lake,Susquehanna River,https://www.dec.ny.gov/data/WQP/PWL/0601-0083.pdf,20017.6062,1100.868324
