Site_ID,PWL_ID,Segment_Name,Municipality,Site Description,Latitude,Longitude,DEC_Region,Watershed_ID,sampleinfo_present,chem_lab_present,chem_insitu_present,macroinfometrics_present,macroraw_present,habitat_present,userperc_present
12-ALPL-1.8,1201-0099,Alplaus Kill,Glenville,just upstream of confluence with indian kill.,42.86985,-73.90183,4,H-240-20-2,T,F,F,F,F,F,F
12-ALPL-3.0,1201-0099,Alplaus Kill,Clifton Park,at end of rustic rd.,42.8875,-73.89638,5,H-24-20,F,F,F,T,T,F,F
12-ALPL-6.2,1201-0099,Alplaus Kill,Glenville,above van vorst rd.,42.90528,-73.91889,4,H-24-20,F,F,F,T,T,F,F
12-ALPL-9.9,1201-0099,Alplaus Kill,Charlton,below swaggertown rd.,42.92472,-73.97056,5,H-24-20,F,F,F,T,T,F,F
12-ALPL-10.8,1201-0099,Alplaus Kill,Charlton,75 m upstream of crane st bridge.,42.930292,-73.98356,4,H-240-20,F,F,F,F,F,F,F
12-ALPL-12.9,1201-0099,Alplaus Kill,Charlton,above charlton rd.,42.93778,-74.00639,5,H-24-20,F,F,F,T,T,F,F
12-ALPL-16.1,1201-0099,Alplaus Kill,Charlton,below route 67.,42.9745,-74.0199,5,H-24-20,T,T,T,T,T,T,T
12-WALPL-1.5,1201-0099,Alplaus Kill,Glenville,glenridge rd. upstream from bridge.,42.867441,-73.901717,4,H-240-20,F,F,F,F,F,F,F
12-WALPL-10.8,1201-0099,Alplaus Kill,Charlton,75 m upstream of crane st bridge.,42.930292,-73.98356,4,H-240-20,F,F,F,F,F,F,F
07-AMBR-0.2,0702-0030,Amber Creek,Otisco,Otisco Valley Rd / route 124 crossing.,42.889618,-76.297213,7,Ont  66-12-12-P154- 6-P175-,T,,T,,,T,T
09-AMPR-2.6,0903-0162,Ampersand Brook,Harrietstown,coreys rd. walk thru woods to stream.,44.19833,-74.29666,5,SL-1-133,T,T,T,T,T,T,T
14-LANAW-0.0,1401-0129,Anawanda Lake,Fremont,,41.85738,-74.96345,3,D-53-2- 9-2-P251,F,F,F,F,T,F,F
14-ANAW-0.4,1402-0052,Anawanna Brook,Thompson,60 meters nw off thompson.,41.65778,-74.66293,3,D- 1-38-3-2,T,T,T,T,T,T,T
04-LANDR-0.0,0403-0056,Andover Pond,Andover,Access type is Public. Public park no boat launch.,42.1656,-77.793602,9,Ont 117-184-12-P164,F,F,F,F,T,F,F
04-ANGL-1.1,0403-0026,Angelica Creek,Angelica,camp rd. (co rte 43) bridge.,42.29539,-78.05774,9,ONT-117-155,T,T,T,T,T,T,T
04-ANGL-3.0,0403-0026,Angelica Creek,Angelica,cr 16 (w main st).,42.3124,-78.03759,9,ONT-117-155,F,F,F,F,F,F,F
04-ANGL-12.3,0403-0026,Angelica Creek,West Almond,at south and turnpike rd. junction.,42.30072,-77.8855,9,ONT-117-155,T,F,T,F,F,T,T
04-ANGL-12.5,0403-0026,Angelica Creek,West Almond,downstream of karr valley rd. salt storage at bridge.,42.300518,-77.882641,9,Ont 117-155,T,T,T,T,T,T,T
04-ANGL-12.9,0403-0026,Angelica Creek,West Almond,off south rd. just above conf. with tributary.,42.29833,-77.87631,9,ONT-117-155,T,T,T,T,T,T,T
13-AFLY-0.9,1302-0086,Angle Fly Brook,Somers,20 m above rt. 35 bridge.,41.2825,-73.72527,3,H- 31-P44-15 thru 16a,T,F,T,T,T,F,F
13-ANNS-1.1,1301-0133,Annsville Creek,Cortlandt,20 m below rte 9 bridge.,41.31805,-73.93056,3,H- 46 thru 59. EOH (selected),T,F,T,T,T,F,F
11-ANTH-0.5,1101-0025,Anthony Kill,Mechanicville,70 m below sr 4 bridge.,42.90639,-73.68722,5,H-26,T,F,T,T,T,F,F
11-ANTH-0.8,1101-0025,Anthony Kill,Mechanicville,off saratoga ave.,42.909168,-73.689163,5,H-260,F,T,F,F,F,F,F
11-ANTH-1.0,1101-0025,Anthony Kill,Mechanicville,5 m above viall st bridge.,42.90972,-73.69167,5,H-26,T,F,T,T,T,T,T
06-APAL-0.1,0603-0014,Apalachin Creek,Owego,100 m below rt. 17 bridge. 100 m above confluence.,42.06333,-76.14332,7,SR-24,T,F,T,T,T,F,F
06-APAL-0.2,0603-0014,Apalachin Creek,Owego,50 m above rt. 434 bridge.,42.0625,-76.14638,7,SR-24,T,F,T,T,T,F,F
11-ARCH-1.9,1104-0055,Archer Creek,Newcomb,off caitlin lake rd.,43.99733,-74.24594,5,H-503-P680-5-P682-6-P684-1,T,F,T,T,T,F,F
10-ARNO-0.1,1004-0018,Arnold Brook,Peru,30 m above state highway 22.,44.59646,-73.51199,5,C-23,F,F,F,F,F,F,F
12-ASHC-2.8,1203-0042,Ash Creek,Ohio,at sr 8 bridge.,43.31827,-74.97597,6,H-240-180-P799-19-4,T,T,T,T,T,T,T
06-ABEL-0.2,0602-0168,Ashbell Brook,Otselic,cr 13.,42.649115,-75.786442,7,SR- 44-14-27-47,T,F,T,T,T,T,T
13-ASHK-0.8,1307-0005,Ashokan Brook,Olive,rte. 28.,41.97417,-74.19861,3,H-171/P848- 1 thru 12 (selected),F,F,F,F,F,F,F
08-AWAT-1.0,0801-0222,Atwater Creek,Martinsburg,15 m above west rd.,43.72081,-75.47881,6,ONT-19-58-6,T,F,T,T,T,F,F
08-AWAT-2.6,0801-0330,Atwater Creek,Martinsburg,at graves rd. bridge.,43.71033,-75.51623,6,Ont  19- 58- 6,T,T,T,T,T,T,T
10-LAUGR-0.0,1004-0020,Augur Lake,Chesterfield,lake sampled for 2008 lake biomonitoring pilot project.,44.47028,-73.49528,5,C- 25,F,F,F,F,T,F,T
12-AURI-0.3,1201-0116,Auriesville Creek,Glen,at rte 5s bridge.,42.93028,-74.31722,4,H-240-84,T,F,T,F,F,F,F
10-LRNC_03-0.2,1004-0015,Ausable River,Peru,just upstream from ausable point campground boat launch on far shore.,44.56694,-73.42555,5,C- 25,F,F,F,F,F,F,F
10-SABL-2.2,1004-0015,Ausable River,Peru,100 m above rt. 9 bridge.,44.55889,-73.44917,5,C- 25,T,T,T,T,T,T,T
10-SABL-7.6,1004-0020,Ausable River,Chesterfield,downstream of main st. bridge in keeseville.,44.504102,-73.481615,5,C- 25,T,T,T,T,T,T,T
10-SABL-13.1,1004-0020,Ausable River,Ausable,otter slide.,44.48221,-73.55639,5,C- 25,T,F,T,T,T,T,T
10-SABL-14.6,1004-0020,Ausable River,Clintonville,bridge on lower rd.,44.464375,-73.575255,5,C- 25,F,T,F,F,F,F,F
10-SABL-14.7,1004-0020,Ausable River,Ausable,10 m above bridge off lower rd.,44.465,-73.575,5,C- 25,T,F,T,T,T,F,F
10-SABL-19.3,1004-0020,Ausable River,Black Brook,rt 9n.,44.44932,-73.65453,5,C-25,T,F,T,T,T,T,T
12-AVAB-0.1,1201-0217,Ava Brook,Lee,river rd. bridge.,43.37361,-75.47667,6,H-24-290,T,F,T,F,F,F,F
17-AWIX-0.7,1701-0093,Awixa Creek,Islip,10 m below union blvd bridge.,40.7275,-73.23054,1,(MW7.8)  AO-GSB-197,F,F,F,T,T,F,F
12-AYER-0.8,1201-0174,Ayers Creek,Stratford,piesco rd. culvert.,43.19083,-74.68056,5,H-240-144-21-2-1,T,F,T,T,T,F,F
11-LBABC-0.0,1102-0014,Babcock Lake,Petersburg,,42.81681,-73.3996,4,H-264-4-P1095-3-6-P1109,F,F,F,F,T,F,F
14-BAGL-0.7,1404-0065,Bagley Brook,Hamden,bagley brook rd. bridge.,42.20167,-74.96917,4,D-71-54,T,F,T,F,F,F,F
13-BAIL-1.0,1302-0148,Bailey Brook,Yorktown,blinn rd.,41.22046,-73.83681,3,H- 31-P44-44 thru 55,T,F,T,T,T,T,T
08-BAKB-1.0,0801-0442,Baker Brook,Remsen,immediately below bardwell mill rd. (cr 72) bridge.,43.38794,-75.16658,6,ONT-19-111,T,F,T,T,T,F,F
04-BAKE-0.3,0403-0066,Baker Creek,Angelica,rte. 16; 50 m above bridge.,42.30901,-78.04313,9,ONT-117-155-2,T,F,T,F,F,F,F
05-BAKE-0.3,0503-0012,Baker Creek,Canisteo,"at campbell rd crossing, alternate rod and gun club rd",42.264939,-77.547768,8,Pa  3-57- 5 (portion 3),T,,T,,,T,T
03-BEAG-1.8,0301-0034,Bald Eagle Creek,Kendall,cr 75.,43.354688,-78.01837,8,Ont 134,F,F,F,F,F,F,F
16-BALD-0.6,1601-0033,Baldwin Brook,Austerlitz,rhoen rd. bridge.,42.332541,-73.429031,4,Mass 5a thru 7a,T,F,T,T,T,T,T
05-BWIN-1.1,0501-0022,Baldwin Creek,Ashland,30 m above co rt 60 bridge.,42.03,-76.71889,8,PA-3-14,T,F,T,F,F,F,F
05-BWIN-4.1,0501-0023,Baldwin Creek,Elmira,above lowman rd. (co rt 2) bridge.,42.06528,-76.73389,8,PA-3-14,T,F,T,T,T,F,F
05-BWIN-9.5,0501-0023,Baldwin Creek,Baldwin,olin rd crossing,42.127712,-76.704839,8,Pa  3-14,T,,,,,,
12-BALU-0.1,1201-0093,Ballou Creek,Utica,downstream of cso outlet.,43.10139,-75.20084,6,H-240-211,T,T,T,T,T,T,T
11-WBALT-2.0,1101-0061,Ballston Creek,Malta,eastline rd. to shenantaha creek park.,42.9666,-73.8239,5,H-260-P1089-3,F,F,F,F,F,F,F
11-LBALL-0.0,1101-0036,Ballston Lake,Ballston,,42.935335,-73.85935,5,H-260-P1089-3-P1090,F,F,F,F,T,F,F
11-LBALL-1.0,1101-0036,Ballston Lake,Ballston,,42.936777,-73.86154,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
11-LBALL-2.0,1101-0036,Ballston Lake,Ballston,,42.924036,-73.86505,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
11-LBALL-3.0,1101-0036,Ballston Lake,Ballston,,42.912187,-73.86957,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
11-LBALL-4.0,1101-0036,Ballston Lake,Ballston,,42.925031,-73.86363,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
11-LBALL-5.0,1101-0036,Ballston Lake,Ballston,,42.936226,-73.85642,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
11-LBALL-6.0,1101-0036,Ballston Lake,Ballston,,42.947404,-73.85367,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
11-LBALL-7.0,1101-0036,Ballston Lake,Ballston,,42.9559,-73.8519,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
11-LBALL-8.0,1101-0036,Ballston Lake,Ballston,,42.943331,-73.85785,5,H-260-P1089-3-P1090,F,F,T,F,F,F,F
06-BALL-0.4,0602-0030,Ballyhack Creek,Fenton,ballyhack rd. above osborne ck.,42.1725,-75.82082,7,SR-44-10-1,T,F,T,T,T,T,T
08-BALS-2.5,0801-0239,Balsam Creek,Croghan,erie canal rd.,43.9525,-75.33971,6,ONT-19-40-10,T,F,T,T,T,F,F
12-BARK-0.6,1204-0013,Barker Creek,Augusta,barker rd.,42.935398,-75.48748,6,H-240-223-45,T,T,T,F,F,T,T
14-BARN-0.7,1402-0046,Barnum Brook,Thompson,tucci rd. culvert.,41.62667,-74.63249,3,D- 1-34.35.36,T,F,T,T,T,F,F
07-BRNM-4.6,0705-0070,Barnum Creek,Ovid,In front of town facility just above County road 130,42.661889,-76.787398,8,Ont  66-12-P296- 99 thru 167 (sel.),T,,T,,,T,T
07-BRNM-4.7,0705-0070,Barnum Creek,Ovid,50 m US of town building off County road 130,42.661258,-76.788899,8,Ont  66-12-P296- 99 thru 167 (sel.),T,,T,,,T,T
13-LBRTP-0.0,1302-0115,Barrett Pond,Kent,"Access type is Private. need lake resident access, but very likely (contacts available).",41.434399,-73.740601,3,H- 31-P44-23..P67..P71,F,F,F,F,T,F,F
10-ADKS12_240-0.1,1001-0025,Bartlett Brook,Moriah,just north off pelfishire rd. from bartlett brook rd. crossing.,44.080556,-73.491389,5,C- 86-3,T,F,F,T,T,T,T
10-BRTB-1.0,1001-0025,Bartlett Brook,Moriah,Approx 30m off Cheney rd,44.069131,-73.48431,5,C- 86-3,T,,T,,,,T
13-BASH-5.2,1308-0021,Bash Bish Brook,Copake,50 m below valley view rd. bridge.,42.11955,-73.51849,4,H-188-59,T,F,F,F,F,F,F
14-BSHR-0.4,1402-0032,Basher Kill,Deerpark,30 m below galley hill rd. bridge.,41.45361,-74.58944,3,D- 1-12,T,T,T,T,T,F,F
14-BSHR-3.7,1402-0040,Basher Kill,Deerpark,port orange rd.,41.4859,-74.57382,3,D- 1-13,T,T,T,T,T,T,T
13-BASC-0.4,1309-0027,Basic Creek,Greenville,50 m above co. rt. 67 bridge.,42.35972,-74.05083,4,H-193-29,T,T,T,T,T,T,T
13-BASC-4.7,1309-0027,Basic Creek,Greenville,20 m above rt. 81 bridge.,42.41278,-74.03584,4,H-193-29,T,F,T,T,T,F,T
13-BASC-7.3,1309-0027,Basic Creek,Westerlo,at rt. 405 bridge.,42.44667,-74.02778,4,H-193-29,T,F,T,T,T,F,F
13-BASC-12.4,1309-0028,Basic Creek,Westerlo,100 m below lobdell mill rd. bridge.,42.50028,-74.03167,4,H-193-29,T,F,T,T,T,F,F
13-BASC-14.3,1309-0028,Basic Creek,Westerlo,10 m below cr 1 bridge.,42.51417,-74.04722,4,H-193-29,T,F,T,T,T,F,F
13-BASC-16.5,1309-0028,Basic Creek,Westerlo,10 m below culvert at richardson farm.,42.54306,-74.04722,4,H-193-29,T,F,T,T,T,F,F
14-BASK-0.3,1401-0135,Basket Creek,Fremont,rte 134; where stream comes close to rd.,41.84767,-75.11049,3,D-59,T,F,T,F,F,F,F
14-BASS-0.2,1404-0076,Basset Brook,Harpersfield,bridge on rt 10 basset brook.,42.390211,-74.647502,4,D-71-62 thru 96,T,T,T,T,T,T,T
12-BATV-0.1,1202-0001,Batavia Kill,Prattsville,rte 23a bridge; 60 m above mouth.,42.30264,-74.41977,4,H-240-82-117,T,F,T,T,T,T,T
12-BATV-0.2,1202-0001,Batavia Kill,Prattsville,rte 23a bridge.,42.30389,-74.4175,4,H-240- 82-117,F,T,F,F,F,F,F
12-BATV-10.1,1202-0001,Batavia Kill,Windham,10 m below co. rt. 12 bridge. south st.,42.30278,-74.2725,4,H-240-82-117,T,T,T,T,T,T,T
12-BATV-10.6,1202-0058,Batavia Kill,Windham,sr 23; behind elks lodge.,42.30674,-74.26626,4,H-240-82-117,F,F,F,F,F,F,F
12-BATV-11.6,1202-0058,Batavia Kill,Windham,at rt. 79 bridge.,42.30583,-74.25195,4,H-240-82-117,T,F,T,T,T,F,F
12-BATV-12.5,1202-0058,Batavia Kill,Windham,lake heloise trib. immediately below rt. 23 bridge.,42.30889,-74.23416,4,H-240-82-117-14,T,F,T,T,T,F,F
12-BATV-12.6,1202-0058,Batavia Kill,Windham,30 m above rt. 296 bridge.,42.30806,-74.23139,4,H-240-82-117,T,F,T,T,T,F,F
12-BATV-14.0,1202-0058,Batavia Kill,Windham,silver lake tributary 1 m below rt. 65 bridge.,42.29528,-74.21333,4,H-240-82-117-17,T,F,T,T,T,T,T
12-BATV-14.3,1202-0058,Batavia Kill,Windham,30 m below rt. 40 bridge.,42.28861,-74.21528,4,H-240-82-117,T,F,T,T,T,F,F
12-BATV-14.8,1202-0001,Batavia Kill,Ashland,Off rt 23,42.295294,-74.349868,4,H-240- 82-117,T,T,T,F,F,T,T
12-BATV-17.9,1202-0001,Batavia Kill,Ashland,50 m below rt. 17 bridge.,42.29361,-74.30695,4,H-240-82-117,T,F,T,T,T,F,F
14-BATK-0.5,1403-0102,Batavia Kill,Middletown,100 m above rt. 30 bridge.,42.18167,-74.59333,4,D-70-84,T,F,T,F,F,F,F
11-BACH-0.1,1104-0106,Batcheller Creek,Edinburg,20 m above saratoga co rte 7 bridge.,43.20833,-74.08082,5,H-369-P127-11,T,F,T,T,T,F,F
11-BATT-0.5,1103-0010,Batten Kill,Easton,below bridge.,43.11444,-73.57026,5,H-301,T,F,T,T,T,F,F
11-BATT-6.5,1103-0010,Batten Kill,Greenwich,0.4 miles above hegeman rd. bridge.,43.09083,-73.51278,5,H-301,T,F,T,T,T,F,F
11-BATT-9.6,1103-0011,Batten Kill,Greenwich,off rt. 29.,43.09361,-73.4625,5,H-301,T,F,T,T,T,T,T
11-BATT-10.2,1103-0011,Batten Kill,Jackson,200 m above ray rd. bridge.,43.09833,-73.45694,5,H-301,T,T,T,T,T,F,F
11-BATT-13.1,1103-0011,Batten Kill,Greenwich,off rt. 29; 0.8 miles above bridge.,43.11538,-73.417097,5,H-301,T,F,T,T,T,T,T
11-BATT-18.0,1103-0012,Batten Kill,Salem,rte 22 bridge; downstream.,43.14528,-73.36472,5,H-301,T,F,T,T,T,F,F
11-BATT-23.6,1103-0012,Batten Kill,Salem,rte 64 bridge; 100 m downstream.,43.0775,-73.34389,5,H-301,T,F,T,T,T,F,F
11-BATT-28.6,1103-0012,Batten Kill,Salem,100 m above rt. 313 parking area.,43.10338,-73.272078,5,H-301,T,F,T,T,T,T,T
11-BATT-34.2,,Batten Kill,Arlington (VT),benedict crossing bridge; 200 m above.,43.08805,-73.19778,0,,T,F,T,T,T,F,F
11-BATT-45.6,,Batten Kill,Manchester Center (VT),off riverbend rd; walk 50 m above lye bk confluence.,43.14583,-73.05972,0,,T,F,T,T,T,F,F
11-BATT-46.1,,Batten Kill,Manchester Center (VT),500 m below manchester stp effluent.,43.15306,-73.05556,0,,T,F,T,T,T,F,F
11-BATT-46.8,,Batten Kill,Manchester Center (VT),union st bridge; 10 m below.,43.16195,-73.0561,0,,T,F,T,T,T,F,F
02-BTLC-0.6,0202-0043,Battle Creek,Randolph,Off Jamestown street / NY 394.,42.164578,-78.984093,9,Pa-63-25- 2,T,,T,,,T,T
14-BAXT-0.3,1403-0090,Baxter Brook,Hancock,rte 30 bridge; 30 m upstream.,42.025,-75.115,4,D-70-23,T,F,T,F,F,F,F
14-BAXT-3.6,1403-0090,Baxter Brook,Hancock,east off houck mountain rd.,42.06929,-75.10797,4,D-70-23,T,F,T,T,T,T,T
06-BEAB-0.3,0602-0143,Bear Brook,Oxford,10 m above cr 32 bridge.,42.38833,-75.62443,7,SR-44-38,T,F,T,T,T,F,F
10-ADKS11_171-0.2,1004-0074,Bear Brook,Keene,10 m above johns brook trail.,44.18132,-73.82802,5,C- 25-27-36,T,F,T,T,T,T,T
03-BARA-0.3,0303-0055,Bear Creek,Ellisburg,torrey hill rd.,43.733068,-76.130297,6,Ont  45- 4,T,F,T,T,T,F,F
03-BARA-11.5,0303-0055,Bear Creek,Lorraine,brown rd.,43.73607,-75.97264,6,Ont  45- 4,T,T,T,T,T,T,T
03-BERO-4.4,0302-0071,Bear Creek,Ontario,450 ft east off cr 110.,43.235727,-77.272173,8,Ont  96,F,F,F,F,F,F,F
03-WBERO-0.1,0302-0071,Bear Creek,Ontario,above cr 101 (lake rd).,43.2756,-77.27489,3,Ont-96,F,F,F,F,F,F,F
08-BARE-3.7,0801-0429,Bear Creek,Forestport,bear creek rd. bridge.,43.52942,-75.12756,6,ONT-19-14-3,T,F,T,T,T,F,F
17-KEND-0.6,1702-0113,Bear Gutter Creek,North Castle,5 m below rte 22.,41.11444,-73.72361,3,(MW2.4)  ER-3-P1063-,T,T,T,T,T,T,T
17-KEND-0.9,1702-0113,Bear Gutter Creek,North Castle,kaysal ct.; 200 m before end.,41.11945,-73.7225,3,(MW2.4)  ER-3-P1063-,F,F,F,T,T,F,F
12-BEAR-1.5,1202-0054,Bear Kill,Roxbury,hiked down hill to stream from pull-off across from suburban propane.,42.3529,-74.46772,4,H-240-82-P638a-113,T,F,T,T,T,F,F
12-BEAR-3.9,1202-0054,Bear Kill,Roxbury,100 m above rt. 30 bridge.,42.36389,-74.49472,4,H-240-82-P638a-113,T,F,T,F,F,F,F
02-BRLO-4.8,0202-0039,Bear Lake Outlet,Stockton,walk 500 meters east off barnes rd. when you come to coordinates 42.301 / -79.368.,42.301,-79.362,9,PA-63-13-23,F,F,F,F,F,F,F
07-BSWP-0.1,0707-0005,Bear Swamp Creek,Niles,appletree fire lane.,42.82246,-76.32969,7,Ont  66-12-29-P193-,T,T,T,T,T,T,T
07-BSWP-1.3,0707-0005,Bear Swamp Creek,Niles,"apple tree point rd.


























10 m upstream.",42.81111,-76.34306,7,ONT-66-12-29-P193-73,T,T,T,T,T,T,T
04-BERD-0.9,0402-0037,Beards Creek,Leicester,100 m below rte 20a bridge.,42.77726,-77.8595,8,ONT-117-6,T,F,T,T,T,F,F
04-BERD-2.5,0402-0037,Beards Creek,Leicester,50 m below river rd. bridge.,42.76778,-77.87361,8,ONT-117-6,T,F,T,T,T,F,F
04-BERD-5.6,0402-0014,Beards Creek,Leicester,peoria rd. 60 m downstream at outflow of beaver dam.,42.798173,-77.889292,8,Ont 117-60-2,T,F,T,T,T,F,T
08-BEAU-1.9,0801-0347,Beauty Creek,Lyonsdale,at marmon rd. / cr 39 bridge.,43.6037,-75.31306,6,ONT-19-81-2-2,T,F,T,T,T,T,T
09-BVBK-0.1,0903-0200,Beaver Brook,Indian Lake,inlet from blue mountain lake. access from end of eagle nest rd.,43.8648,-74.47869,5,SL- 1-P109..P293-,F,F,F,F,F,F,F
10-BEAW-2.3,1004-0039,Beaver Brook,Westport,rt 9.,44.23364,-73.38267,5,C- 48,T,F,T,T,T,T,T
11-BEVS-0.3,1103-0004,Beaver Brook,Salem,cary lane.,43.17167,-73.33305,5,H-31-2-1-2,T,F,T,T,T,F,F
12-BEVB-0.3,1201-0192,Beaver Brook,Herkimer,5 m above cr 231.,43.02278,-74.92222,6,H-24-172,T,F,T,T,T,F,F
14-BEBR-0.2,1401-0089,Beaver Brook,Highland,20 m above rt. 97 bridge.,41.4825,-74.95028,3,D-30,T,F,T,F,F,F,F
14-BEBR-8.2,1401-0090,Beaver Brook,Tusten,5 m below blind brook rd.,41.57186,-74.91086,3,D-30,T,T,T,T,T,T,T
17-BVBR-0.3,1702-0153,Beaver Brook,Oyster Bay,frost mill rd.; 5-10 m below old rd. bridge in preserve. park at preserve and follow red trail to blue trail.,40.878102,-73.565952,1,(MW4.4a) LIS-OBH-MNC-44 thru 48,T,T,T,T,T,T,T
01-BEVC-1.1,0105-0016,Beaver Creek,Sheridan,at west middle rd. bridge. just past airport.,42.50187,-79.2683,9,E-31,T,F,T,T,T,F,F
03-BEEK-4.5,0302-0062,Beaver Creek,Lummisville,lummisville rd.; second choice: ridge rd. town of huron 43.223314 / -76.896993.,43.243124,-76.899616,8,Ont  82/P93 ..,T,T,T,F,T,T,T
06-BEVR-1.5,0601-0053,Beaver Creek,Columbus,where south brookfield rd. comes close to stream.,42.73444,-75.30972,7,SR-146-44,T,T,T,T,T,T,T
06-BEVR-7.8,0601-0151,Beaver Creek,Brookfield,downstream of skaneateles turnpike bridge.,42.812638,-75.319855,7,SR-146-44,T,F,T,T,T,T,T
07-BVRK-0.3,0704-0038,Beaver Creek,Farmington,mertensia rd.,42.97139,-77.36472,8,ONT-66-12-52-23-46,T,F,T,T,T,F,F
09-BAVR-6.9,0905-0117,Beaver Creek,De Kalb,cr17 bridge. after newcomb rd.,44.52639,-75.40194,6,SL-25-13,T,F,T,T,T,F,F
